month,entry_date,entry_price,exit_date,exit_price,monthly_return_pct,holding_days,equity_curve,cumulative_return_pct,drawdown_pct
2022-08,2022-08-01,14870.0,2022-08-31,15039.0,0.015404550000000199,31,1.0026383217863495,0.26383217863494846,-0.3158371233636603
2022-09,2022-09-01,14736.0,2022-09-30,13395.0,-0.1355065499999997,30,1.0012796811875189,0.12796811875188663,-0.4509156933741765
2022-10,2022-10-03,13304.0,2022-10-31,12943.0,-0.03741234999999997,29,1.0009050789287142,0.09050789287141647,-0.4881593452167654
2022-11,2022-11-01,13031.0,2022-11-30,14800.0,0.1755084500000001,30,1.0026617519187133,0.26617519187133176,-0.31350765611707354
2022-12,2022-12-01,14977.0,2022-12-30,14134.0,-0.08575554999999986,30,1.0018019138187158,0.18019138187157502,-0.3989943559022824
2023-01,2023-01-03,14230.0,2023-01-31,15268.0,0.10232510000000002,29,1.0028270086288325,0.28270086288324503,-0.2970775272759796
2023-02,2023-02-01,15383.0,2023-02-24,15542.0,0.014353750000000219,24,1.0029709519105836,0.2970951910583608,-0.28276641904153577
2023-03,2023-03-01,15544.0,2023-03-31,15864.0,0.03042960000000021,31,1.003276151959366,0.3276151959366036,-0.2524228637318049
2023-04,2023-04-06,15760.0,2023-04-28,15573.0,-0.020266649999999754,23,1.003072821493115,0.3072821493115052,-0.27263835607348463
2023-05,2023-05-02,15636.0,2023-05-31,16489.0,0.08369375,30,1.0039123307526534,0.39123307526534035,-0.18917278733762144
2023-06,2023-06-01,16470.0,2023-06-30,16788.0,0.030137099999999917,30,1.0042148808156846,0.4214880815684552,-0.15909269852972807
2023-07,2023-07-03,17035.0,2023-07-31,17100.0,0.004793250000000262,29,1.0042630153454593,0.42630153454592534,-0.1543070742405006
2023-08,2023-08-01,17182.0,2023-08-31,16628.0,-0.057090499999999884,31,1.0036896765686834,0.3689676568683353,-0.21130947956028434
2023-09,2023-09-01,16651.0,2023-09-28,16368.0,-0.02995094999999983,28,1.003389061975499,0.33890619754990414,-0.24119714036372475
2023-10,2023-10-02,16557.0,2023-10-31,15994.0,-0.057927549999999974,30,1.0028078232749287,0.2807823274928678,-0.2989849707696446
2023-11,2023-11-01,16048.0,2023-11-30,17393.0,0.13282795000000025,30,1.0041398323490245,0.4139832349024486,-0.1665541563771078
2023-12,2023-12-01,17421.0,2023-12-29,17868.0,0.042935550000000516,29,1.0045709653088124,0.45709653088124025,-0.12369011732021873
2024-01,2024-01-02,17798.0,2024-01-31,17920.0,0.010414100000000325,30,1.0046755823337106,0.46755823337105706,-0.11328889853273738
2024-02,2024-02-01,17986.0,2024-02-29,18966.0,0.09615240000000012,29,1.0056416020183385,0.5641602018338521,-0.01724542852760136
2024-03,2024-03-01,18961.0,2024-03-29,20280.0,0.12993795000000027,29,1.0069483121003484,0.6948312100348408,0.0
2024-04,2024-04-01,20288.0,2024-04-30,20413.0,0.010464949999999954,30,1.0070536887377357,0.7053688737735708,0.0
2024-05,2024-05-02,20291.0,2024-05-31,21285.0,0.09732120000000032,30,1.0080337654722598,0.8033765472259757,0.0
2024-06,2024-06-03,21654.0,2024-06-28,22983.0,0.13066815000000023,26,1.0093509445449778,0.9350944544977757,0.0
2024-07,2024-07-01,22991.0,2024-07-31,22290.0,-0.07236404999999976,31,1.0086205373227919,0.8620537322791888,-0.07236404999998447
2024-08,2024-08-01,22653.0,2024-08-30,22323.0,-0.035248799999999754,30,1.008265010686832,0.8265010686832053,-0.107587342540727
2024-09,2024-09-02,22227.0,2024-09-30,22326.0,0.007672350000000005,29,1.0083423683073796,0.8342368307379555,-0.09992324701819655
2024-10,2024-10-01,22391.0,2024-10-30,22904.0,0.049035250000000453,30,1.0088368115085349,0.8836811508534881,-0.05093699463218915
2024-11,2024-11-01,22753.0,2024-11-29,22313.0,-0.04625329999999958,29,1.0083701911915974,0.8370191191597431,-0.09716673459125857
2024-12,2024-12-02,22827.0,2024-12-31,23041.0,0.019106600000000255,30,1.0085628564505476,0.8562856450547551,-0.07807869985057003
