original_date,Time,Symbol,Open,High,Low,Close,Volume,Signal
2018/01/23,2018-01-23,TX,11241.0,11253.0,11181.0,11225.0,152547.0,0.0
2018/01/23,2018-01-23,TX,10750.0,10763.0,10698.0,10744.0,134.0,0.0
2018/01/23,2018-01-23,TX,11235.0,11240.0,11170.0,11214.0,2586.0,0.0
2018/01/23,2018-01-23,TX,11198.0,11235.0,11184.0,11235.0,360.0,0.0
2018/01/23,2018-01-23,TX,11183.0,11186.0,11116.0,11161.0,482.0,0.0
2018/01/23,2018-01-23,TX,11149.0,11180.0,11131.0,11180.0,64.0,0.0
2018/01/23,2018-01-23,TX,10786.0,10795.0,10728.0,10768.0,336.0,0.0
2018/01/23,2018-01-23,TX,10750.0,10776.0,10735.0,10776.0,76.0,0.0
2018/01/23,2018-01-23,TX,10718.0,10736.0,10705.0,10736.0,78.0,0.0
2018/01/24,2018-01-24,TX,,,,,,0.0
2018/01/24,2018-01-24,TX,,,,,,0.0
2018/01/24,2018-01-24,TX,-66.0,-66.0,-66.0,-66.0,4.0,0.0
2018/01/24,2018-01-24,TX,,,,,,0.0
2018/01/24,2018-01-24,TX,-458.0,-458.0,-458.0,-458.0,1.0,0.0
2018/01/24,2018-01-24,TX,,,,,,0.0
2018/01/24,2018-01-24,TX,,,,,,0.0
2018/01/24,2018-01-24,TX,,,,,,0.0
2018/01/24,2018-01-24,TX,,,,,,0.0
2018/01/24,2018-01-24,TX,,,,,,0.0
2018/01/24,2018-01-24,TX,,,,,,0.0
2018/01/24,2018-01-24,TX,,,,,,0.0
2018/01/24,2018-01-24,TX,,,,,,0.0
2018/01/24,2018-01-24,TX,,,,,,0.0
2018/01/24,2018-01-24,TX,,,,,,0.0
2018/01/24,2018-01-24,TX,,,,,,0.0
2018/01/24,2018-01-24,TX,10715.0,10715.0,10605.0,10630.0,179.0,0.0
2018/01/24,2018-01-24,TX,11228.0,11234.0,11185.0,11202.0,19990.0,0.0
2018/01/24,2018-01-24,TX,11192.0,11192.0,11079.0,11111.0,3305.0,0.0
2018/01/24,2018-01-24,TX,11216.0,11221.0,11175.0,11192.0,497.0,0.0
2018/01/24,2018-01-24,TX,11132.0,11132.0,11023.0,11057.0,551.0,0.0
2018/01/24,2018-01-24,TX,11163.0,11163.0,11125.0,11135.0,31.0,0.0
2018/01/24,2018-01-24,TX,10741.0,10742.0,10636.0,10666.0,211.0,0.0
2018/01/24,2018-01-24,TX,10773.0,10774.0,10735.0,10751.0,53.0,0.0
2018/01/24,2018-01-24,TX,10744.0,10745.0,10712.0,10722.0,46.0,0.0
2018/01/24,2018-01-24,TX,11199.0,11203.0,11090.0,11126.0,171874.0,0.0
2018/01/25,2018-01-25,TX,-12.0,-12.0,-12.0,-12.0,1.0,0.0
2018/01/25,2018-01-25,TX,,,,,,0.0
2018/01/25,2018-01-25,TX,,,,,,0.0
2018/01/25,2018-01-25,TX,,,,,,0.0
2018/01/25,2018-01-25,TX,-463.0,-463.0,-463.0,-463.0,13.0,0.0
2018/01/25,2018-01-25,TX,,,,,,0.0
2018/01/25,2018-01-25,TX,,,,,,0.0
2018/01/25,2018-01-25,TX,,,,,,0.0
2018/01/25,2018-01-25,TX,,,,,,0.0
2018/01/25,2018-01-25,TX,,,,,,0.0
2018/01/25,2018-01-25,TX,,,,,,0.0
2018/01/25,2018-01-25,TX,,,,,,0.0
2018/01/25,2018-01-25,TX,,,,,,0.0
2018/01/25,2018-01-25,TX,11117.0,11271.0,11116.0,11154.0,207680.0,0.0
2018/01/25,2018-01-25,TX,10639.0,10760.0,10637.0,10654.0,255.0,0.0
2018/01/25,2018-01-25,TX,11141.0,11158.0,11098.0,11109.0,21680.0,0.0
2018/01/25,2018-01-25,TX,11094.0,11255.0,11094.0,11140.0,4557.0,0.0
2018/01/25,2018-01-25,TX,11128.0,11144.0,11086.0,11100.0,475.0,0.0
2018/01/25,2018-01-25,TX,11068.0,11199.0,11054.0,11082.0,359.0,0.0
2018/01/25,2018-01-25,TX,11074.0,11089.0,11032.0,11043.0,67.0,0.0
2018/01/25,2018-01-25,TX,10677.0,10807.0,10660.0,10686.0,369.0,0.0
2018/01/25,2018-01-25,TX,10677.0,10698.0,10642.0,10652.0,115.0,0.0
2018/01/25,2018-01-25,TX,10645.0,10662.0,10615.0,10615.0,44.0,0.0
2018/01/26,2018-01-26,TX,-13.0,-11.0,-13.0,-12.0,5.0,0.0
2018/01/26,2018-01-26,TX,,,,,,0.0
2018/01/26,2018-01-26,TX,,,,,,0.0
2018/01/26,2018-01-26,TX,,,,,,0.0
2018/01/26,2018-01-26,TX,,,,,,0.0
2018/01/26,2018-01-26,TX,-465.0,-465.0,-465.0,-465.0,1.0,0.0
2018/01/26,2018-01-26,TX,-494.0,-494.0,-494.0,-494.0,1.0,0.0
2018/01/26,2018-01-26,TX,,,,,,0.0
2018/01/26,2018-01-26,TX,,,,,,0.0
2018/01/26,2018-01-26,TX,,,,,,0.0
2018/01/26,2018-01-26,TX,,,,,,0.0
2018/01/26,2018-01-26,TX,10694.0,10721.0,10694.0,10701.0,72.0,0.0
2018/01/26,2018-01-26,TX,11170.0,11186.0,11079.0,11146.0,172894.0,0.0
2018/01/26,2018-01-26,TX,11158.0,11186.0,11148.0,11167.0,21006.0,0.0
2018/01/26,2018-01-26,TX,11156.0,11171.0,11068.0,11134.0,3349.0,0.0
2018/01/26,2018-01-26,TX,11145.0,11173.0,11137.0,11152.0,538.0,0.0
2018/01/26,2018-01-26,TX,11111.0,11118.0,11018.0,11079.0,275.0,0.0
2018/01/26,2018-01-26,TX,10715.0,10720.0,10628.0,10675.0,312.0,0.0
2018/01/26,2018-01-26,TX,10681.0,10686.0,10596.0,10645.0,242.0,0.0
2018/01/26,2018-01-26,TX,10664.0,10690.0,10656.0,10670.0,134.0,0.0
2018/01/26,2018-01-26,TX,11089.0,11113.0,11087.0,11095.0,73.0,0.0
